financial_year,report_year,group_name,previous_usd_mn,current_usd_mn,growth_pct,share_pct,report_month
2021-2022,2022,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,2208.38,2949.57,33.56,0.48,March
2021-2022,2022,PAPER & RELATED PRODUCTS,5836.49,8371.3,43.43,1.37,March
2021-2022,2022,BASE METALS,23752.53,34904.69,46.95,5.69,March
2021-2022,2022,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,5085.77,7267.02,42.89,1.19,March
2021-2022,2022,ELECTORONICS ITEMS,54287.92,73674.21,35.71,12.02,March
2021-2022,2022,MACHINERY,34349.06,45704.34,33.06,7.46,March
2021-2022,2022,OFFICE EQUIPMENTS,81.61,57.2,-29.92,0.01,March
2021-2022,2022,TRANSPORT EQUIPMENTS,15369.2,16433.74,6.93,2.68,March
2021-2022,2022,PROJECT GOODS,1498.94,1356.05,-9.53,0.22,March
2021-2022,2022,TEXTILES & ALLIED PRODUCTS,5297.99,7666.56,44.71,1.25,March
2021-2022,2022,PETROLEUM CRUDE & PRODUCTS,82683.88,161810.45,95.7,26.39,March
2021-2022,2022,OTHERS,5311.39,6692.56,26,1.09,March
2022-2023,2023,PLANTATION,1237.94,1216.51,-1.73,0.17,March
2022-2023,2023,AGRI & ALLIED PRODUCTS,30008.27,32234.23,7.42,4.5,March
2022-2023,2023,MARINE PRODUCTS,223.91,246.68,10.17,0.03,March
2022-2023,2023,ORES & MINERALS,40829.53,59066.85,44.67,8.25,March
2022-2023,2023,LEATHER & LEATHER MANUFACTURES,850.41,1064.93,25.23,0.15,March
2022-2023,2023,GEMS & JEWELLERY,81635.5,73902.05,-9.47,10.32,March
2022-2023,2023,SPORTS GOODS,334.94,331,-1.18,0.05,March
2022-2023,2023,CHEMICALS & RELATED PRODUCTS,67636.59,73734.75,9.02,10.3,March
2022-2023,2023,PLASTIC & RUBBER ARTICLES,23407.28,26958.44,15.17,3.77,March
2022-2023,2023,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,2949.57,3621.71,22.79,0.51,March
2022-2023,2023,PAPER & RELATED PRODUCTS,8371.3,10242.02,22.35,1.43,March
2022-2023,2023,BASE METALS,34904.69,42323.42,21.25,5.91,March
2022-2023,2023,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,7267.02,7901.88,8.74,1.1,March
2022-2023,2023,ELECTORONICS ITEMS,73674.21,77263.53,4.87,10.79,March
2022-2023,2023,MACHINERY,45704.34,51786.75,13.31,7.23,March
2022-2023,2023,OFFICE EQUIPMENTS,57.2,77.58,35.64,0.01,March
2022-2023,2023,TRANSPORT EQUIPMENTS,16433.74,26329.23,60.21,3.68,March
2022-2023,2023,PROJECT GOODS,1356.05,1602.92,18.2,0.22,March
2022-2023,2023,TEXTILES & ALLIED PRODUCTS,7666.56,9906.75,29.22,1.38,March
2022-2023,2023,PETROLEUM CRUDE & PRODUCTS,161810.45,209418.17,29.42,29.25,March
2022-2023,2023,OTHERS,6692.56,6739.5,0.7,0.94,March
2023-2024,2024,PLANTATION,1216.51,1000.83,-17.73,0.15,March
2023-2024,2024,AGRI & ALLIED PRODUCTS,32234.23,30557.41,-5.2,4.51,March
2023-2024,2024,MARINE PRODUCTS,246.68,251.42,1.92,0.04,March
2023-2024,2024,ORES & MINERALS,59066.85,48178.57,-18.43,7.1,March
