hscode,hsdesc,latest_export_usd_mn,growth_5yr_pct,cagr_pct,volatility_pct,momentum_score
9608,BALL POINT PENS; FELT TIPPED AND OTHER    POROUS,217.78,10.24,2.47,13.96,46.08
4012,"RETREADED OR USED PNEUMATIC TYRES OF      RUBBER, SOLID OR CUSHION TYRES, TYRE      TREADS AND TYRE FLAPS, OF RUBBER",81.24,18.56,4.35,6.07,45.96
2701,COAL BRIQUETTES OVOIDS AND SIMILAR          SOLID FUELS MANUFACTURED FROM COAL,178.32,19.02,4.45,15.13,45.94
3003,MEDICAMENTS (EXCL GOODS HDG NO 3002 3005  OR 3006) CNSISTNC OF TWO/MORE CONSTUNTS   MXD TOGETHER FOR HMN MEDCNE NT FR RT,360.30,-14.98,-3.98,8.39,45.85
2915,"SATRTD ACYLC MONOCRBOXYLIC ACIDS AND THR    ANHYDRTDS,HALIDS,PEROXIDS AND PEROXY ACIDS; THR HALGNTD SLPHNTD NITRTD/NITRS",687.99,-21.29,-5.81,10.84,45.82
8301,"PDLCKS LOCKS(KEY ETC) OF BASE MTL;CLSPS AND FRMS WTH CLSPS,INCRPRTNG LCKS,OF BASE     MTL;KEYS FOR FRGNG ARTCLS OF BASE",130.54,5.25,1.29,6.07,45.70
5701,"CARPETS AND OTHER TEXTILE FLOOR COVERINGS, KNOTTED, WHETHER OR NOT MADE UP",275.89,-6.49,-1.66,8.04,45.64
8802,"OTHR AIRCRAFT EXCEPT UNMANNED AIRCRAFT OF 8806(eg HELICOPTER, AEROPLANE)SPACECRAFT (INCL SATELLITE) AND SUBORBITAL AND SPACE",75.00,130.23,23.18,546.91,45.57
2529,FELSPAR LEUCITE NEPHELINE AND NEPHELINE     SYENITE FLUORSPAR,72.73,27.85,6.33,7.98,45.45
2922,OXYGEN,707.88,-19.21,-5.19,12.91,45.43
6307,"OTHER MADE UP ARTICLES, INCLUDING DRESS   PATTERNS",461.95,-2.78,-0.70,16.44,45.30
9602,"WRKD VGTBL/MNRL CRVNG MTRL AND ARTCLS OF    THESE MTRLS;CRVD ARTCLS OF WAX,OF STEARN, OF NTRL GUMSETC;N.E.S;WRKD UNHRDND",157.35,3.03,0.75,6.96,44.98
2916,"UNSATURATED ACYCLIC MONOCARBOXYLIC ACIDS, CYCLIC MONOCARBOXYLIC ACIDS, THEIR        ANHYDRIDES, HALIDES, PEROXIDES AND P",362.72,-5.35,-1.37,12.47,44.90
2503,"SULPHUR OF ALL KINDS, OTHER THAN SUBLIMED SULPHUR, PRECIPITATED SULPHUR AND         COLLODIAL SULPHUR",329.36,16.98,4.00,94.40,44.83
0813,"FRUIT, DRIED, OTHER THAN THAT OF HEADINGS 0801 TO 0806; MIXTURES OF NUTS OR DRIED   FRUITS OF THIS CHAPTER",66.07,90.70,17.51,36.31,44.41
8716,TRAILERS AND SEMI,207.77,13.39,3.19,17.01,44.32
7419,OTHER ARTICLES OF COPPER,287.59,-16.19,-4.32,7.13,44.27
8547,INSLTNG FTTNGS FR ELCTRCL MCHNS ETC.      ELECTRCL CONDUIT TUBING AND JOINTS THEROF   OFBSE MTL LINED WTH INSLTNG MATRL,71.57,23.60,5.44,7.17,44.12
8904,TUGS AND PUSHER CRAFT,247.19,17.69,4.16,34.52,44.12
7602,ALUMINIUM WASTE AND SCRAP,53.80,150.79,25.84,41.61,44.09
2917,"PLYCRBOXYLC ACDS,THR ANHYDRDS,HALIDES,    PEROXIDES ANDPEROXYACDS,OTHR HALGNTD SLPHNTDNITRATED OR NITROSATED DERIVATIVES",308.95,-14.47,-3.83,8.84,43.98
5509,"YARN(OTHR THN SWNG THREAD)OF SYNTHTC      STAPLE FIBRES,NOT PUT UP FOR RETAIL SALE",427.12,-33.55,-9.71,7.19,43.93
2507,"KAOLIN AND OTHER KAOLINIC CLAYS, WHETHER  OR NOT CALCINED",53.70,66.97,13.67,16.42,43.82
2811,OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON,111.91,18.82,4.41,11.53,43.73
0703,"ONIONS, SHALLOTS, GARLIC, LEEKS AND OTHER ALLIACEOUS VEGETABLES, FRESH OR CHILLED",434.96,-8.97,-2.32,14.21,43.66
8514,INDSTRL/LABORATORY ELCTRC(INCL INDUCTN/   DIELCTRC)FURNACES ETC;OTHR INDSTRL/       LABORATORY INDUCTN/DIELCTRC HTNG EQP,132.86,13.12,3.13,10.96,43.66
3505,"DEXTRINS AND OTHER MODIFIED STARCHES (FOR EXAMPLE, PREGELATINISED OR ESTERIFIED     STARCHES); GLUES BASED ON STARCHES,",64.86,80.96,15.98,28.65,43.63
2619,SLAG DROSS (OTHR THN GRNLTD SLAG) SCALINGSAND OTHER WASTE FROM THE MNFR OF IRON/STEEL,67.32,81.15,16.01,36.03,43.32
8110,"ANTIMONY AND ARTICLES THEREOF, INCLUDING  WASTE AND SCRAP",53.22,162.72,27.31,68.87,43.32
7309,RESERVRS AND CONTAINRS FR ANY MATRL(OTHR    THNCMPRSD/LIQD GAS)OF IRN/STL,63.19,51.31,10.91,16.67,43.25
